Data;cambio;Selic ;inflacao
dez/17;3,2913;0,54;0,44
jan/18;3,21;0,58;0,29
fev/18;3,2409;0,47;0,32
mar/18;3,2786;0,53;0,09
abr/18;3,4069;0,52;0,22
mai/18;3,6355;0,52;0,4
jun/18;3,7726;0,52;1,26
jul/18;3,8281;0,54;0,33
ago/18;3,9292;0,57;-0,09
set/18;4,1159;0,47;0,48
out/18;3,7578;0,54;0,45
nov/18;3,786;0,49;-0,21
dez/18;3,8844;0,49;0,15
jan/19;3,7411;0,54;0,32
fev/19;3,723;0,49;0,43
mar/19;3,8459;0,47;0,75
abr/19;3,8956;0,52;0,57
mai/19;4,0009;0,54;0,13
jun/19;3,8582;0,47;0,01
jul/19;3,7787;0,57;0,19
ago/19;4,0194;0,5;0,11
set/19;4,1209;0,46;-0,04
out/19;4,0864;0,48;0,1
nov/19;4,1547;0,38;0,51
dez/19;4,1089;0,37;1,15
jan/20;4,1489;0,38;0,21
fev/20;4,3404;0,29;0,25
mar/20;4,8832;0,34;0,07
abr/20;5,325;0,28;-0,31
mai/20;5,6429;0,24;-0,38
jun/20;5,196;0,21;0,26
jul/20;5,2796;0,19;0,36
ago/20;5,4606;0,16;0,24
set/20;5,3989;0,16;0,64
out/20;5,6252;0,16;0,86
nov/20;5,4172;0,15;0,89
dez/20;5,1449;0,16;1,35
jan/21;5,3556;0,15;0,25
fev/21;5,4159;0,13;0,86
mar/21;5,6455;0,2;0,93
abr/21;5,5615;0,21;0,31
mai/21;5,2904;0,27;0,83
jun/21;5,0313;0,31;0,53
jul/21;5,156;0,36;0,96
ago/21;5,2511;0,43;0,87
set/21;5,2791;0,44;1,16
out/21;5,5394;0,49;1,25
nov/21;5,5563;0,59;0,95
dez/21;5,6506;0,77;0,73
